call_id,received_at,line,caller_ref,wait_seconds,talk_seconds,outcome,handled_by
C000001,05/01/2026 08:04:27,Billing,P04175,7,106,Answered,R02
C000002,05/01/2026 08:18:43,New Patients ,P03153,,198,answered,R02
C000003,05/01/2026 08:20:46,New Patients,P02186,4,179,answered,R01
C000004,05/01/2026 08:21:06,New Patients,P02158,52,0,VOICEMAIL,
C000005,05/01/2026 08:28:00,New Patients,P02445,,349,Answered,R01
C000006,05/01/2026 08:45:05,New Patients,P04003,14,234,ANSWERED,R01
C000007,05/01/2026 08:48:10,Main ,P03982,13,81,Answered,R02
C000008,05/01/2026 08:50:44,Main,P03467,75,0,Voicemail,
C000009,05/01/2026 08:52:14,Main,P02554,3,172,answered,R02
C000010,05/01/2026 08:54:02,Main,P00173,8,225,ANSWERED,R01
C000011,05/01/2026 09:14:46,New Patients,P00581,8,218,answered,R01
C000012,05/01/2026 09:17:27,Billing ,P03873,11,184,answered,R02
C000013,05/01/2026 09:20:34,Main,P00444,3,246,answered,R01
C000014,05/01/2026 09:30:35,Main,P03457,8,341,Answered,R02
C000015,05/01/2026 09:33:25,Main,P00121,14,115,ANSWERED,R01
C000016,05/01/2026 09:34:50,Billing ,P01349,15,138,Answered,R04
C000017,05/01/2026 09:36:47,New Patients,P03987,9,224,answered,R01
C000018,05/01/2026 09:37:32,New Patients,P02570,16,608,ANSWERED,R03
C000019,05/01/2026 09:37:04,Main,P01523,26,0,ABANDONED,
C000020,05/01/2026 09:38:26,New Patients,P01927,19,188,answered,R02
C000021,05/01/2026 09:39:25,New Patients,P02592,19,136,ANSWERED,R04
C000022,05/01/2026 09:40:00,Main ,P02458,51,0,abandoned,
C000023,05/01/2026 09:41:22,Main,P00820,,201,ANSWERED,R01
C000024,05/01/2026 09:46:51,Billing,P02002,7,251,ANSWERED,R02
C000025,05/01/2026 09:51:56,New Patients,P00065,16,432,Answered,R04
C000026,05/01/2026 09:52:43,Main,P00946,8,153,answered,R01
C000027,05/01/2026 09:53:10,New Patients,P02163,4,263,answered,R03
C000028,05/01/2026 09:53:23,New Patients,P03504,21,362,answered,R02
C000029,05/01/2026 09:56:50,New Patients,P01214,19,201,Answered,R01
C000030,05/01/2026 09:57:06,Billing,P00327,54,0,Voicemail,
C000031,05/01/2026 10:01:11,Main,P03330,14,149,answered,R04
C000032,05/01/2026 10:10:55,Billing,P00204,8,102,Answered,R02
C000033,05/01/2026 10:11:14,Main,P03856,,99,ANSWERED,R01
C000034,05/01/2026 10:19:25,Main,P01583,,313,Answered,R04
C000035,05/01/2026 10:21:46,New Patients,P02713,21,248,answered,R01
C000036,05/01/2026 10:31:59,New Patients,P03575,,159,ANSWERED,R01
C000037,05/01/2026 10:34:39,New Patients,P01615,15,108,ANSWERED,R03
C000038,05/01/2026 10:38:12,Main,P01021,,121,ANSWERED,R03
C000039,05/01/2026 10:38:25,Main ,P03106,8,239,answered,R04
C000040,05/01/2026 10:47:28,New Patients,P00004,7,364,ANSWERED,R03
C000041,05/01/2026 10:49:42,New Patients,P04188,16,520,answered,R02
C000042,05/01/2026 11:03:01,New Patients,P02746,13,362,ANSWERED,R01
C000043,05/01/2026 11:33:45,Main,P03893,,140,answered,R01
C000044,05/01/2026 12:23:11,New Patients,P04050,9,385,ANSWERED,R04
