enquiry_id,created_at,source,channel,caller_ref,became_patient
E01565,2026-01-05 08:18,Phone,Paid social,P03153,N
E01566,2026-01-05 08:20,Phone,Paid search,P02186,Y
E00009,2026-01-05 08:35,Web form,Paid search,,N
E01567,2026-01-05 08:45,Phone,Paid search,P04003,N
E01568,2026-01-05 09:14,Phone,Paid social,P00581,N
E00139,2026-01-05 09:35,Web form,Directories,,N
E01569,2026-01-05 09:36,Phone,Organic,P03987,Y
E01570,2026-01-05 09:37,Phone,Directories,P02570,Y
E01571,2026-01-05 09:39,Phone,Paid search,P02592,N
E00030,2026-01-05 09:42,Web form,Paid search,,Y
E01572,2026-01-05 09:51,Phone,Directories,P00065,N
E01573,2026-01-05 09:53,Phone,Organic,P02163,N
E00074,2026-01-05 09:56,Web form,Paid search,,N
E01574,2026-01-05 10:21,Phone,Paid social,P02713,N
E00078,2026-01-05 10:32,Web form,Paid search,,N
E00168,2026-01-05 10:44,Web form,Directories,,N
E01575,2026-01-05 10:49,Phone,Directories,P04188,Y
E01576,2026-01-05 11:03,Phone,Paid social,P02746,N
E01577,2026-01-05 12:23,Phone,Paid search,P04050,Y
E00001,2026-01-05 13:33,Web form,Paid search,,Y
E01242,2026-01-05 14:55,Web form,Organic,,N
E01578,2026-01-05 15:26,Phone,Directories,P03568,Y
E01579,2026-01-05 16:06,Phone,Paid search,P03672,N
E01580,2026-01-05 16:14,Phone,Organic,P02817,N
E00097,2026-01-05 16:44,Web form,Paid social,,Y
E01581,2026-01-05 17:12,Phone,Organic,P00813,N
E01241,2026-01-05 19:32,Web form,Organic,,N
E00106,2026-01-05 20:16,Web form,Paid social,,N
E01240,2026-01-05 20:54,Web form,Organic,,N
E00125,2026-01-06 08:38,Web form,Paid social,,N
E01582,2026-01-06 10:13,Phone,Directories,P02054,Y
E01246,2026-01-06 10:29,Web form,Organic,,N
E01245,2026-01-06 10:45,Web form,Organic,,N
E01583,2026-01-06 10:49,Phone,Paid search,P02531,N
E01584,2026-01-06 10:54,Phone,Organic,P02106,N
E01585,2026-01-06 11:13,Phone,Paid social,P02997,N
E01586,2026-01-06 12:14,Phone,Paid search,P00563,N
E01587,2026-01-06 12:31,Phone,Directories,P01080,Y
E01588,2026-01-06 12:53,Phone,Paid search,P02471,N
E01589,2026-01-06 13:07,Phone,Paid search,P01762,N
E00042,2026-01-06 13:11,Web form,Paid search,,N
E01244,2026-01-06 14:13,Web form,Organic,,Y
E00014,2026-01-06 14:24,Web form,Paid search,,Y
E01590,2026-01-06 15:12,Phone,Organic,P02869,N
E01591,2026-01-06 16:01,Phone,Organic,P00408,N
E00115,2026-01-06 16:03,Web form,Paid social,,N
E01592,2026-01-06 16:40,Phone,Directories,P02372,N
E01593,2026-01-06 16:58,Phone,Paid search,P01994,Y
E01594,2026-01-06 17:30,Phone,Organic,P01816,Y
E00098,2026-01-06 17:37,Web form,Paid social,,N
E01243,2026-01-06 18:30,Web form,Organic,,N
E00023,2026-01-07 08:42,Web form,Paid search,,N
E01595,2026-01-07 08:51,Phone,Directories,P01590,N
E01596,2026-01-07 09:13,Phone,Directories,P02235,N
E01597,2026-01-07 09:56,Phone,Organic,P03745,Y
E01598,2026-01-07 09:59,Phone,Organic,P02387,N
E01599,2026-01-07 10:09,Phone,Organic,P03807,N
E00085,2026-01-07 10:43,Web form,Paid search,,N
E01600,2026-01-07 11:24,Phone,Organic,P02619,N
E01601,2026-01-07 11:24,Phone,Paid search,P01427,N
E00140,2026-01-07 11:54,Web form,Directories,,N
E00054,2026-01-07 12:05,Web form,Paid search,,N
E01602,2026-01-07 12:13,Phone,Paid search,P01058,Y
E01603,2026-01-07 12:24,Phone,Paid search,P00766,N
E01604,2026-01-07 12:24,Phone,Organic,P02766,Y
E01605,2026-01-07 12:33,Phone,Directories,P00249,Y
E01606,2026-01-07 12:55,Phone,Paid search,P02830,Y
E01607,2026-01-07 13:41,Phone,Paid social,P03881,N
E01608,2026-01-07 15:39,Phone,Directories,P02571,Y
E00146,2026-01-07 15:53,Web form,Directories,,N
E01609,2026-01-07 15:53,Phone,Paid search,P02166,Y
E00060,2026-01-07 15:57,Web form,Paid search,,N
E00063,2026-01-07 16:14,Web form,Paid search,,N
E01610,2026-01-07 16:21,Phone,Paid search,P02241,N
E01611,2026-01-07 16:26,Phone,Directories,P01200,Y
E01612,2026-01-07 16:26,Phone,Paid search,P02226,N
E01613,2026-01-07 16:46,Phone,Paid social,P01903,N
E01248,2026-01-07 16:55,Web form,Organic,,Y
E00077,2026-01-07 17:30,Web form,Paid search,,N
E01247,2026-01-07 18:13,Web form,Organic,,Y
E00160,2026-01-07 19:25,Web form,Directories,,N
E01249,2026-01-07 19:39,Web form,Organic,,Y
E01250,2026-01-07 20:12,Web form,Organic,,Y
E00012,2026-01-08 08:21,Web form,Paid search,,N
E01614,2026-01-08 08:36,Phone,Organic,P00129,N
E01615,2026-01-08 09:00,Phone,Paid search,P03413,N
E01616,2026-01-08 09:14,Phone,Organic,P02319,Y
E00163,2026-01-08 09:33,Web form,Directories,,Y
E01617,2026-01-08 09:36,Phone,Organic,P01196,N
E00061,2026-01-08 09:56,Web form,Paid search,,Y
E01618,2026-01-08 10:09,Phone,Organic,P01469,N
E01254,2026-01-08 10:10,Web form,Organic,,N
E01252,2026-01-08 10:52,Web form,Organic,,N
E01253,2026-01-08 12:25,Web form,Organic,,N
E01619,2026-01-08 12:40,Phone,Paid social,P02700,N
E00008,2026-01-08 12:46,Web form,Paid search,,N
E01620,2026-01-08 12:55,Phone,Paid search,P03352,N
E01621,2026-01-08 13:02,Phone,Paid search,P03089,Y
E00033,2026-01-08 13:45,Web form,Paid search,,N
E01622,2026-01-08 14:14,Phone,Organic,P00943,N
E01623,2026-01-08 14:50,Phone,Directories,P01527,Y
E01624,2026-01-08 14:53,Phone,Directories,P01686,Y
E01625,2026-01-08 15:02,Phone,Directories,P01532,N
E00068,2026-01-08 15:32,Web form,Paid search,,N
E00051,2026-01-08 15:40,Web form,Paid search,,N
E00167,2026-01-08 15:51,Web form,Directories,,Y
E01626,2026-01-08 16:31,Phone,Organic,P03637,Y
E01627,2026-01-08 16:43,Phone,Directories,P01378,Y
E00083,2026-01-08 18:03,Web form,Paid search,,N
E01251,2026-01-08 20:03,Web form,Organic,,N
E01628,2026-01-09 08:11,Phone,Organic,P00765,N
E00142,2026-01-09 08:26,Web form,Directories,,Y
E01629,2026-01-09 08:28,Phone,Directories,P01919,Y
E01630,2026-01-09 08:50,Phone,Paid social,P01091,Y
E01631,2026-01-09 09:05,Phone,Organic,P01241,N
E01255,2026-01-09 12:19,Web form,Organic,,N
E00122,2026-01-09 12:20,Web form,Paid social,,N
E01632,2026-01-09 12:55,Phone,Organic,P04141,N
E00057,2026-01-09 14:20,Web form,Paid search,,N
E01633,2026-01-09 14:56,Phone,Paid search,P02717,N
E00149,2026-01-09 15:27,Web form,Directories,,N
E01634,2026-01-09 16:10,Phone,Paid search,P02940,N
E01635,2026-01-09 16:18,Phone,Organic,P02651,Y
E01636,2026-01-09 16:20,Phone,Organic,P02758,Y
E01637,2026-01-09 16:29,Phone,Paid search,P01428,N
E01638,2026-01-09 16:43,Phone,Directories,P00727,N
E01639,2026-01-09 16:46,Phone,Organic,P00395,Y
E01257,2026-01-09 17:25,Web form,Organic,,N
E01640,2026-01-09 17:30,Phone,Paid social,P00763,N
