month,channel,spend_gbp,impressions,clicks
2026-01,Paid search,5200,38533,1661
2026-01,Paid social,2100,39044,1652
2026-01,Directories,900,9261,374
2026-02,Paid search,5400,46325,1783
2026-02,Paid social,2050,36345,1444
2026-02,Directories,900,11541,384
2026-03,Paid search,5300,48955,1649
2026-03,Paid social,2200,44322,1653
2026-03,Directories,900,11242,397
2026-04,Paid search,7900,65680,2646
2026-04,Paid social,3100,64174,2370
2026-04,Directories,950,11073,380
2026-05,Paid search,8200,72039,2587
2026-05,Paid social,3250,65658,2306
2026-05,Directories,950,10961,400
2026-06,Paid search,8100,81284,2745
2026-06,Paid social,3300,73222,2399
2026-06,Directories,950,8951,378
